T^{-1},T,E,M,C_v,Chi
0.392927,2.545000,-0.519733,0.053696,0.544390,169.394054
0.392157,2.550000,-0.523265,0.066324,0.721757,170.880430
0.391389,2.555000,-0.523675,-0.029700,0.561896,172.615865
0.390625,2.560000,-0.488558,0.008429,0.580904,150.622974
0.389864,2.565000,-0.526513,-0.055015,0.756606,172.974620
0.389105,2.570000,-0.543340,-0.103730,0.561921,178.538887
0.388350,2.575000,-0.506093,0.007816,0.892578,161.408934
0.387597,2.580000,-0.491203,0.015213,0.592150,151.015174
0.386847,2.585000,-0.520278,0.061199,0.559014,166.671086
0.386100,2.590000,-0.532860,-0.037613,0.545781,175.946440
0.385356,2.595000,-0.511703,-0.044821,0.593598,161.744165
0.384615,2.600000,-0.490995,-0.052848,0.580955,148.146318
0.383877,2.605000,-0.515050,0.010334,0.671969,164.618626
0.383142,2.610000,-0.547280,0.069824,1.118263,183.540916
0.382409,2.615000,-0.522053,-0.095549,0.524042,162.538481
0.381679,2.620000,-0.512128,0.065183,0.487766,158.850915
0.380952,2.625000,-0.534038,-0.075145,0.767080,172.405526
0.380228,2.630000,-0.520865,-0.051863,0.701205,165.257479
0.379507,2.635000,-0.539015,-0.062356,0.464788,175.281003
0.378788,2.640000,-0.505645,0.008872,0.574893,156.425691
0.378072,2.645000,-0.483450,-0.031808,0.379518,141.774877
0.377358,2.650000,-0.510940,-0.010538,0.426741,158.684761
0.376648,2.655000,-0.483053,0.038836,0.752205,141.707214
0.375940,2.660000,-0.490578,0.023069,0.561044,145.933952
0.375235,2.665000,-0.483480,0.057563,0.513932,139.719737
0.374532,2.670000,-0.482878,-0.027694,0.551043,140.739442
0.373832,2.675000,-0.481488,0.024937,0.449252,139.494603
0.373134,2.680000,-0.482800,0.041458,0.473955,139.405761
0.372439,2.685000,-0.472228,0.014798,0.497835,134.091901
0.371747,2.690000,-0.484658,0.059344,0.477516,138.903038
0.371058,2.695000,-0.497098,0.026061,0.593238,147.900382
0.370370,2.700000,-0.453143,-0.001866,0.412689,122.794047
0.369686,2.705000,-0.468010,0.020514,0.538812,130.766202
